*****************************
Basic coeficients
*****************************
Alpha, Cd
  -16.00    ,    .1667    
  -8.000    ,    .4475E-01
  -6.000    ,    .3290E-01
  -4.000    ,    .2639E-01
  -2.000    ,    .2554E-01
    .000    ,    .3065E-01
   2.000    ,    .4245E-01
   4.000    ,    .6156E-01
   8.000    ,    .1232    
   9.000    ,    .1436    
   10.00    ,    .1636    
   12.00    ,    .2014    
   14.00    ,    .2355    
   16.00    ,    .2637    
   18.00    ,    .2813    
   19.00    ,    .2851    
   20.00    ,    .2611    
   21.00    ,    .2185    
   22.00    ,    .1816    
   24.00    ,    .1539    

Alpha, CL
  -16.00    ,   -1.216    
  -8.000    ,   -.4490    
  -6.000    ,   -.2713    
  -4.000    ,   -.9559E-01
  -2.000    ,    .7950E-01
    .000    ,    .2620    
   2.000    ,    .4513    
   4.000    ,    .6466    
   8.000    ,    1.053    
   9.000    ,    1.157    
   10.00    ,    1.248    
   12.00    ,    1.403    
   14.00    ,    1.529    
   16.00    ,    1.620    
   18.00    ,    1.660    
   19.00    ,    1.659    
   20.00    ,    1.545    
   21.00    ,    1.332    
   22.00    ,    1.097    
   24.00    ,    .8071    

Alpha, Cm
  -16.00    ,    .6261    
  -8.000    ,    .2937    
  -6.000    ,    .2325    
  -4.000    ,    .1590    
  -2.000    ,    .7771E-01
    .000    ,   -.5162E-02
   2.000    ,   -.9019E-01
   4.000    ,   -.1784    
   8.000    ,   -.3681    
   9.000    ,   -.4190    
   10.00    ,   -.4685    
   12.00    ,   -.5701    
   14.00    ,   -.6714    
   16.00    ,   -.7712    
   18.00    ,     .000    
   19.00    ,     .000    
   20.00    ,     .000    
   21.00    ,     .000    
   22.00    ,     .000    
   24.00    ,     .000    

Alpha, Cyb
  -16.00    ,   -.3898E-02
  -8.000    ,   -.3898E-02
  -6.000    ,   -.3898E-02
  -4.000    ,   -.3898E-02
  -2.000    ,   -.3898E-02
    .000    ,   -.3898E-02
   2.000    ,   -.3898E-02
   4.000    ,   -.3898E-02
   8.000    ,   -.3898E-02
   9.000    ,   -.3898E-02
   10.00    ,   -.3898E-02
   12.00    ,   -.3898E-02
   14.00    ,   -.3898E-02
