*****************************
Basic coeficients
*****************************
Alpha, Cd
  -16.00    ,    .6947E-01
  -8.000    ,    .2148E-01
  -6.000    ,    .1702E-01
  -4.000    ,    .1383E-01
  -2.000    ,    .1226E-01
    .000    ,    .1207E-01
   2.000    ,    .1357E-01
   4.000    ,    .1725E-01
   8.000    ,    .3216E-01
   9.000    ,    .3820E-01
   10.00    ,    .4525E-01
   12.00    ,    .6170E-01
   14.00    ,    .8154E-01
   16.00    ,    .1067    
   18.00    ,    .1366    
   19.00    ,    .1530    
   20.00    ,    .1704    
   21.00    ,    .1879    
   22.00    ,    .2056    
   24.00    ,    .2413    

Alpha, CL
  -16.00    ,   -.2149    
  -8.000    ,   -.1067    
  -6.000    ,   -.8551E-01
  -4.000    ,   -.6279E-01
  -2.000    ,   -.4164E-01
    .000    ,   -.2193E-01
   2.000    ,   -.1986E-02
   4.000    ,    .1974E-01
   8.000    ,    .6694E-01
   9.000    ,    .7979E-01
   10.00    ,    .9306E-01
   12.00    ,    .1199    
   14.00    ,    .1473    
   16.00    ,    .1767    
   18.00    ,    .2070    
   19.00    ,    .2224    
   20.00    ,    .2381    
   21.00    ,    .2542    
   22.00    ,    .2688    
   24.00    ,    .2947    

Alpha, Cm
  -16.00    ,    .7050    
  -8.000    ,    .3437    
  -6.000    ,    .2765    
  -4.000    ,    .2041    
  -2.000    ,    .1375    
    .000    ,    .7582E-01
   2.000    ,    .1338E-01
   4.000    ,   -.5523E-01
   8.000    ,   -.2055    
   9.000    ,   -.2469    
   10.00    ,   -.2899    
   12.00    ,   -.3769    
   14.00    ,   -.4661    
   16.00    ,   -.5629    
   18.00    ,   -.6642    
   19.00    ,   -.7159    
   20.00    ,   -.7695    
   21.00    ,   -.8244    
   22.00    ,   -.8739    
   24.00    ,   -.9616    

Alpha, Cyb
  -16.00    ,     .000    
  -8.000    ,     .000    
  -6.000    ,     .000    
  -4.000    ,     .000    
  -2.000    ,     .000    
    .000    ,     .000    
   2.000    ,     .000    
   4.000    ,     .000    
   8.000    ,     .000    
   9.000    ,     .000    
   10.00    ,     .000    
   12.00    ,     .000    
   14.00    ,     .000    
   16.00    ,     .000    
   18.00    ,     .000    
   19.00    ,     .000    
   20.00    ,     .000    
   21.00    ,     .000    
   22.00    ,     .000    
   24.00    ,     .000    

Alpha, Cnb
  -16.00    ,     .000    
  -8.000    ,     .000    
  -6.000    ,     .000    
  -4.000    ,     .000    
  -2.000    ,     .000    
    .000    ,     .000    
   2.000    ,     .000    
   4.000    ,     .000    
   8.000    ,     .000    
   9.000    ,     .000    
   10.00    ,     .000    
   12.00    ,     .000    
   14.00    ,     .000    
   16.00    ,     .000    
   18.00    ,     .000    
   19.00    ,     .000    
   20.00    ,     .000    
   21.00    ,     .000    
   22.00    ,     .000    
   24.00    ,     .000    

Alpha, Clb
  -16.00    ,     .000    
  -8.000    ,     .000    
  -6.000    ,     .000    
  -4.000    ,     .000    
  -2.000    ,     .000    
    .000    ,     .000    
   2.000    ,     .000    
   4.000    ,     .000    
   8.000    ,     .000    
   9.000    ,     .000    
   10.00    ,     .000    
   12.00    ,     .000    
   14.00    ,     .000    
   16.00    ,     .000    
   18.00    ,     .000    
   19.00    ,     .000    
   20.00    ,     .000    
   21.00    ,     .000    
   22.00    ,     .000    
   24.00    ,     .000    

Alpha, Q_Qinf
  -16.00    ,    1.000    
  -8.000    ,    .9388    
  -6.000    ,    .9548    
  -4.000    ,    .9487    
  -2.000    ,    .9358    
    .000    ,    .9455    
   2.000    ,    .9762    
   4.000    ,    1.000    
   8.000    ,    1.000    
   9.000    ,    1.000    
   10.00    ,    1.000    
   12.00    ,    1.000    
   14.00    ,    1.000    
   16.00    ,    1.000    
   18.00    ,    1.000    
   19.00    ,    1.000    
   20.00    ,    1.000    
   21.00    ,    1.000    
   22.00    ,    1.000    
   24.00    ,    1.000    

Alpha, Epslon
  -16.00    ,   -4.205    
  -8.000    ,   -1.642    
  -6.000    ,   -.9061    
  -4.000    ,   -.1361    
  -2.000    ,    .6679    
    .000    ,    1.455    
   2.000    ,    2.203    
   4.000    ,    2.917    
   8.000    ,    4.241    
   9.000    ,    4.543    
   10.00    ,    4.835    
   12.00    ,    5.389    
   14.00    ,    5.904    
   16.00    ,    6.379    
   18.00    ,    6.815    
   19.00    ,    7.018    
   20.00    ,    7.212    
   21.00    ,    7.395    
   22.00    ,    7.569    
   24.00    ,    7.887    

Alpha, d_Epslon
  -16.00    ,    .3204    
  -8.000    ,    .3585    
  -6.000    ,    .3765    
  -4.000    ,    .3935    
  -2.000    ,    .3978    
    .000    ,    .3838    
   2.000    ,    .3655    
   4.000    ,    .3483    
   8.000    ,    .3075    
   9.000    ,    .2967    
   10.00    ,    .2869    
   12.00    ,    .2672    
   14.00    ,    .2475    
   16.00    ,    .2279    
   18.00    ,    .2082    
   19.00    ,    .1983    
   20.00    ,    .1885    
   21.00    ,    .1787    
   22.00    ,    .1688    
   24.00    ,    .1590    

Alpha, CLq
  -16.00    ,    .1306    
  -8.000    ,    .1306    
  -6.000    ,    .1306    
  -4.000    ,    .1306    
  -2.000    ,    .1306    
    .000    ,    .1306    
   2.000    ,    .1306    
   4.000    ,    .1306    
   8.000    ,    .1306    
   9.000    ,    .1306    
   10.00    ,    .1306    
   12.00    ,    .1306    
   14.00    ,    .1306    
   16.00    ,    .1306    
   18.00    ,    .1306    
   19.00    ,    .1306    
   20.00    ,    .1306    
   21.00    ,    .1306    
   22.00    ,    .1306    
   24.00    ,    .1306    

Alpha, Cmq
  -16.00    ,   -.4572    
  -8.000    ,   -.4572    
  -6.000    ,   -.4572    
  -4.000    ,   -.4572    
  -2.000    ,   -.4572    
    .000    ,   -.4572    
   2.000    ,   -.4572    
   4.000    ,   -.4572    
   8.000    ,   -.4572    
   9.000    ,   -.4572    
   10.00    ,   -.4572    
   12.00    ,   -.4572    
   14.00    ,   -.4572    
   16.00    ,   -.4572    
   18.00    ,   -.4572    
   19.00    ,   -.4572    
   20.00    ,   -.4572    
   21.00    ,   -.4572    
   22.00    ,   -.4572    
   24.00    ,   -.4572    

Alpha, CLad_Basic
  -16.00    ,    .4184E-01
  -8.000    ,    .4395E-01
  -6.000    ,    .4694E-01
  -4.000    ,    .4875E-01
  -2.000    ,    .4861E-01
    .000    ,    .4739E-01
   2.000    ,    .4659E-01
   4.000    ,    .4549E-01
   8.000    ,    .4016E-01
   9.000    ,    .3875E-01
   10.00    ,    .3746E-01
   12.00    ,    .3489E-01
   14.00    ,    .3233E-01
   16.00    ,    .2976E-01
   18.00    ,    .2719E-01
   19.00    ,    .2590E-01
   20.00    ,    .2462E-01
   21.00    ,    .2333E-01
   22.00    ,    .2205E-01
   24.00    ,    .2076E-01

Alpha, Cmad_Basic
  -16.00    ,   -.1465    
  -8.000    ,   -.1539    
  -6.000    ,   -.1644    
  -4.000    ,   -.1707    
  -2.000    ,   -.1702    
    .000    ,   -.1659    
   2.000    ,   -.1631    
   4.000    ,   -.1593    
   8.000    ,   -.1406    
   9.000    ,   -.1357    
   10.00    ,   -.1312    
   12.00    ,   -.1222    
   14.00    ,   -.1132    
   16.00    ,   -.1042    
   18.00    ,   -.9518E-01
   19.00    ,   -.9068E-01
   20.00    ,   -.8619E-01
   21.00    ,   -.8169E-01
   22.00    ,   -.7719E-01
   24.00    ,   -.7269E-01

Alpha, Clp
  -16.00    ,     .000    
  -8.000    ,     .000    
  -6.000    ,     .000    
  -4.000    ,     .000    
  -2.000    ,     .000    
    .000    ,     .000    
   2.000    ,     .000    
