*****************************
Basic coeficients
*****************************
Alpha, Cd
  -16.00    ,    .1070    
  -8.000    ,    .3741E-01
  -6.000    ,    .2983E-01
  -4.000    ,    .2581E-01
  -2.000    ,    .2543E-01
    .000    ,    .2824E-01
   2.000    ,    .3482E-01
   4.000    ,    .4503E-01
   8.000    ,    .7822E-01
   9.000    ,    .8921E-01
   10.00    ,    .1014    
   12.00    ,    .1238    
   14.00    ,    .1452    
   16.00    ,    .1636    
   18.00    ,    .1777    
   19.00    ,    .1834    
   20.00    ,    .1788    
   21.00    ,    .1745    
   22.00    ,    .1471    
   24.00    ,    .9661E-01

Alpha, CL
  -16.00    ,   -1.202    
  -8.000    ,   -.4352    
  -6.000    ,   -.2501    
  -4.000    ,   -.7451E-01
  -2.000    ,    .9380E-01
    .000    ,    .2693    
   2.000    ,    .4537    
   4.000    ,    .6463    
   8.000    ,    1.046    
   9.000    ,    1.147    
   10.00    ,    1.249    
   12.00    ,    1.418    
   14.00    ,    1.554    
   16.00    ,    1.660    
   18.00    ,    1.730    
   19.00    ,    1.751    
   20.00    ,    1.703    
   21.00    ,    1.648    
   22.00    ,    1.400    
   24.00    ,    .5616    

Alpha, Cm
  -16.00    ,   -.1108    
  -8.000    ,    .1674E-02
  -6.000    ,    .9840E-02
  -4.000    ,    .1917E-01
  -2.000    ,    .4620E-01
    .000    ,    .8908E-01
   2.000    ,    .1423    
   4.000    ,    .2063    
   8.000    ,    .3314    
   9.000    ,    .3739    
   10.00    ,    .4185    
   12.00    ,    .4870    
   14.00    ,    .4614    
   16.00    ,    .4039    
   18.00    ,    .3540    
   19.00    ,    .3138    
   20.00    ,    .2559    
   21.00    ,    .1747    
   22.00    ,    .5248E-02
   24.00    ,   -.4882    

Alpha, Cyb
  -16.00    ,     .000    
  -8.000    ,     .000    
  -6.000    ,     .000    
  -4.000    ,     .000    
  -2.000    ,     .000    
    .000    ,     .000    
   2.000    ,     .000    
   4.000    ,     .000    
   8.000    ,     .000    
   9.000    ,     .000    
   10.00    ,     .000    
   12.00    ,     .000    
   14.00    ,     .000    
   16.00    ,     .000    
   18.00    ,     .000    
   19.00    ,     .000    
   20.00    ,     .000    
   21.00    ,     .000    
   22.00    ,     .000    
   24.00    ,     .000    

Alpha, Cnb
  -16.00    ,     .000    
  -8.000    ,     .000    
  -6.000    ,     .000    
  -4.000    ,     .000    
  -2.000    ,     .000    
    .000    ,     .000    
   2.000    ,     .000    
   4.000    ,     .000    
   8.000    ,     .000    
   9.000    ,     .000    
   10.00    ,     .000    
   12.00    ,     .000    
   14.00    ,     .000    
   16.00    ,     .000    
   18.00    ,     .000    
   19.00    ,     .000    
   20.00    ,     .000    
   21.00    ,     .000    
   22.00    ,     .000    
   24.00    ,     .000    

Alpha, Clb
  -16.00    ,     .000    
  -8.000    ,     .000    
  -6.000    ,     .000    
  -4.000    ,     .000    
  -2.000    ,     .000    
    .000    ,     .000    
   2.000    ,     .000    
   4.000    ,     .000    
   8.000    ,     .000    
   9.000    ,     .000    
   10.00    ,     .000    
   12.00    ,     .000    
   14.00    ,     .000    
   16.00    ,     .000    
   18.00    ,     .000    
   19.00    ,     .000    
   20.00    ,     .000    
   21.00    ,     .000    
   22.00    ,     .000    
   24.00    ,     .000    

Alpha, Q_Qinf
  -16.00    ,    1.000    
  -8.000    ,    .9844    
  -6.000    ,    .9187    
  -4.000    ,    .8572    
  -2.000    ,    .8597    
    .000    ,    .9219    
   2.000    ,    .9851    
   4.000    ,    1.000    
   8.000    ,    1.000    
   9.000    ,    1.000    
   10.00    ,    1.000    
